Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC
Abwop.com',' - ',' - ',' - ',,,,,
Acadaca','636 Broadway #516',' - ','New York',,,,,
"AcceleWeb, Inc.'",' - ',' - ',' - ',,,,,
Acceleron Digital','131 Varick St #917',' - ','New York',,,,,
Accent Internet Group',' - ',' - ',' - ',,,,,
Accenture',"'1345 Avenue of the Americas, New York, NY 10105'",' - ','New York',,,,,
Accern',' - ',' - ',' - ',,,,,
Accomplsh',' - ',' - ',' - ',,,,,
Accretive technologies',' - ',' - ',' - ',,,,,
Acme Railways',' - ',' - ',' - ',,,,,
Acorn',' - ',' - ',' - ',,,,,
Acquaintable',' - ',' - ','New York',,,,,
Acquity Group (acquired by Accenture)','636 6th Ave Suite 300',' - ','New York',,,,,
Action Enable Networks',' - ',' - ',' - ',,,,,
"Activation, Inc.'",' - ',' - ',' - ',,,,,
Activore',' - ',' - ',' - ',,,,,
ActorPerks',' - ',' - ',' - ',,,,,
ActvContent',' - ',' - ',' - ',,,,,
Ad Nibble',' - ',' - ',' - ',,,,,
AdColony','175 Varick',' - ','New York',,,,,
AdRadar','252 West 37th Street',' - ','New York',,,,,
AdStack [acquired by TellApart]',"'""155 Water Street /257 Myrtle Road",,,,,,,
"Burlingame, CA 94010""'",'2','Brooklyn','http://adstack.com/ http://www.tellapart.com/company/,,,,,
AdTheorent','155 Avenue of the Americas','2nd Floor','New York',,,,,
Adafruit',"'150 Varick St, New York, NY, 10013'",' - ',' - ',,,,,
Adam & Luna',' - ',' - ',' - ',,,,,
Adaptly','22 West 19th Street','3rd Floor','New York',,,,,
Adcade',' - ',' - ',' - ',,,,,
Adcomm Mobile',' - ',' - ',' - ',,,,,
AddMee',' - ',' - ',' - ',,,,,
Adhara',' - ',' - ',' - ',,,,,
Adkeeper','381 Park Avenue South',' - ','New York',,,,,
"Adkins Capital Management, LLC'",' - ',' - ',' - ',,,,,
Admeld','One Madison Ave','4th Floor','New York',,,,,
Admission Advantage',' - ',' - ',' - ',,,,,
AdmitSee',' - ',' - ',' - ',,,,,
Admittedly',' - ',' - ',' - ',,,,,
Adore Me','485 7th Ave #505',' - ','New York',,,,,
AdoreMe',' - ',' - ',' - ',,,,,
Adprime Media',' - ',' - ',' - ',,,,,
Adtivity by Appssavvy','594 Broadway','Suite 207','New York',,,,,
Adventr',' - ',' - ',' - ',,,,,
Advicedrop',' - ',' - ',' - ',,,,,
Advise.me',' - ',' - ',' - ',,,,,
Advus',' - ',' - ',' - ',,,,,
Advyzr','119 west 31st street','4th Floor','New York',,,,,
Advyzr',' - ',' - ',' - ',,,,,
Adweek','770 Broadway','7th floor','New York',,,,,
Adz Anywhere',' - ',' - ',' - ',,,,,
"Aereo, Inc.'",'37-18 Northern Boulevard',' - ','Long Island City',,,,,
AetherWorks','501 Fifth Avenue',' - ','New York',,,,,
Aethertech',' - ',' - ',' - ',,,,,
Affinity',' - ',' - ',' - ',,,,,
Africa Plateforme',' - ',' - ',' - ',,,,,
Afromedia News Corps',' - ',' - ',' - ',,,,,
AfterSteps_ny',' - ',' - ',' - ',,,,,
AfterYes',' - ',' - ',' - ',,,,,
AgFunder',' - ',' - ',' - ',,,,,
Agape Academy',' - ',' - ',' - ',,,,,
Agent Link',' - ',' - ',' - ',,,,,
Aggregift',' - ',' - ',' - ',,,,,
Agilitus','350 Manhattan Avenue',' - ','Brooklyn',,,,,
Aging2.0',' - ',' - ','New York',,,,,
Agolo',' - ',' - ',' - ',,,,,
Agon Creative','538 Grand St','2nd Floor','Brooklyn',,,,,
"AgooBiz, Inc [AgooBiz.com]'",' - ',' - ',' - ',,,,,
Agronomic Technology Corp.',' - ',' - ',' - ',,,,,
Agyx','110 Wall Street','11 Floor','New York',,,,,
Ahhdio',' - ',' - ',' - ',,,,,
Ahii: Another story about a girl...',' - ',' - ',' - ',,,,,
Ai Media Group','483 10th Avenue','4th Floor','New York',,,,,
Aidin',' - ',' - ',' - ',,,,,
AirBnB',' - ',' - ',' - ',,,,,
AirKast','610 Fifth Avenue','Suite 610','New York',,,,,
Airto',' - ',' - ',' - ',,,,,
Airto Inc',' - ',' - ',' - ',,,,,
Aisle in Style',' - ',' - ',' - ',,,,,
Ajungo.com',' - ',' - ',' - ',,,,,
Akamai Technologies','352 Park Avenue South','8th Floor','New York',,,,,
Akilah',' - ',' - ',' - ',,,,,
Akimbo',' - ',' - ',' - ',,,,,
"Aksel Group, Inc'",'52 Walker Street 3rd Floor',' - ','New York',,,,,
Akyumen',' - ',' - ',' - ',,,,,
Alacra Inc','100 Broadway','#1101','New York',,,,,
"Albatross Digital, LLC'",'155 Water Street',' - ','Brooklyn',,,,,
Albert Herrera',' - ',' - ',' - ',,,,,
Alchematter',' - ',' - ',' - ',,,,,
Alchemy50','20 Jay Street','Suite 934','Brooklyn',,,,,
Alcohoot',' - ',' - ',' - ',,,,,
Alcohoot LLC',' - ',' - ',' - ',,,,,
Alexander Berardi',' - ',' - ',' - ',,,,,
AlgoPrice',' - ',' - ',' - ',,,,,
"Align Communications, Inc.'",'55 Broad Street','6th Floor','New York',,,,,
All Veggiez!',' - ',' - ',' - ',,,,,
All You Need Staffing Registry',' - ',' - ',' - ',,,,,
AllOut.org',' - ',' - ','New York',,,,,
"AllStar Deals, Inc.'",' - ',' - ',' - ',,,,,
AllTheRooms',' - ',' - ',' - ',,,,,
Alla Simoneau's Company',' - ',' - ',' - ',,,,,
AllazoHealth',' - ',' - ',' - ',,,,,
Alley Interactive','1133 Broadway','Suite 630','New York',,,,,
Alley Technology',' - ',' - ',' - ',,,,,
AlleyWatch',' - ',' - ',' - ',,,,,
AlleyWire',' - ',' - ',' - ',,,,,
Allmenus','39 West 19th Street','7th Floor','New York',,,,,
"Allovate, LLC'",' - ',' - ',' - ',,,,,
Alloy Digital','151 West 26th Street',' - ','New York',,,,,
Alluring Logic',' - ',' - ',' - ',,,,,
Allyson Ivy',' - ',' - ',' - ',,,,,
Alpha Airlines',' - ',' - ',' - ',,,,,
Alpha Hat',' - ',' - ',' - ',,,,,
AlphaBoost (AdVerify)','122 West 26th Street','5th Floor','New York',,,,,
AlphaIntelX',' - ',' - ',' - ',,,,,
AlphaSights',' - ',' - ',' - ',,,,,
"Alquimi Innovations, LLC'",' - ',' - ',' - ',,,,,
Alset',' - ',' - ',' - ',,,,,
Altah',"'1412 Broadway, 22nd Fl'",' - ','New York',,,,,
Alton Lane',' - ',' - ',' - ',,,,,
Altruik','341 West 38th Street','8th Floor','New York',,,,,
AlumVest',' - ',' - ',' - ',,,,,
AlumniChoose',' - ',' - ',' - ',,,,,
Alvadon',' - ',' - ',' - ',,,,,
Amasty',' - ',' - ',' - ',,,,,
Amazon Web Services',"'1350 Avenue of Americas, New York, NY, 10019'",' - ',' - ',,,,,
Ambertracks Technology Inc.  DBA: Monstress Zenergy Drink',' - ',' - ',' - ',,,,,
Ambigú Empanada Bar',' - ',' - ',' - ',,,,,
Amer Pharmacy Corp.',' - ',' - ',' - ',,,,,
"AmerIsrael Capital Management, LLC'",' - ',' - ',' - ',,,,,
"America's Amazing Teens, LLC'",' - ',' - ',' - ',,,,,
America's Amazing Teens™',' - ',' - ',' - ',,,,,
American Capital Group',' - ',' - ',' - ',,,,,
American Civics Exchange',' - ',' - ',' - ',,,,,
American Lawyer Media','120 Broadway','5th Floor','New York',,,,,
"American Prison Data Systems, PBC'",' - ',' - ',' - ',,,,,
American Story Channel LLC',' - ',' - ',' - ',,,,,
American Woman Publishing LLC',' - ',' - ',' - ',,,,,
Amerikids','10 Leonard Street Loft 3SW',' - ','New York',,,,,
Ammirati','19 Union Square W',' - ','New York',,,,,
Amo Beverage Group',' - ',' - ',' - ',,,,,
Amorphyk',' - ',' - ',' - ',,,,,
"Amplify Education, Inc.'",'55 Washington St','#900','Brooklyn',,,,,
Amusemi.com',' - ',' - ',' - ',,,,,
Amusology',"'217 East 29th Street, APT 1B'",' - ','New York',,,,,
Amusology',' - ',' - ',' - ',,,,,
Anait Bian LCC',' - ',' - ',' - ',,,,,
AnalytixInsight Inc',' - ',' - ',' - ',,,,,
Andras Fenyves',' - ',' - ',' - ',,,,,
Andrew's Roadmaps','Brooklyn',' - ','New York',,,,,
Angel-Tel   (Int'l Telephony & Mobile VoIP)',' - ',' - ',' - ',,,,,
Lingy',' - ',' - ',' - ',,,,,
Angry Villagers',' - ',' - ',' - ',,,,,
Aniepo',' - ',' - ',' - ',,,,,
Anime Feast',' - ',' - ',' - ',,,,,
Animoto','440 Lafayette St.',' - ','New York',,,,,
Annalect','195 Broadway','19th Flr','New York',,,,,
Annotary',' - ',' - ',' - ',,,,,
AnonymAsk',' - ',' - ',' - ',,,,,
Antarctic Creative','122 Norfolk Street','Studio 20','New York',,,,,
Anvil+Gear','175 Varick St.',' - ','New York',,,,,
Any One Color',' - ',' - ',' - ',,,,,
AnySizeDeals',' - ',' - ',' - ',,,,,
Anyone Want To',' - ',' - ',' - ',,,,,
Apartable','222 Broadway','20th Floor','New York',,,,,
Aplus',' - ',' - ',' - ',,,,,
Apogee Media','49 West 23rd Street',' - ','New York',,,,,
Aponia Data Solutions','28 west 39th street','4th floor','New York',,,,,
Aponia Data Solutions',' - ',' - ',' - ',,,,,
AppAddictive','122 West 26th Street','5th Floor','New York',,,,,
AppFirst','6 West 14th Street','Suite 4E','New York',,,,,
AppLaunch',' - ',' - ','New York',,,,,
AppNexus',"'28 West 23rd St, 4th Fl, New York, NY 10010'",' - ',' - ',,,,,
AppNexus',' - ','4th Floor','New York',,,,,
AppNotes',' - ',' - ',' - ',,,,,
AppOrchard','86 Chambers Street','7th Floor','New York',,,,,
AppSavvy','594 Broadway Suite 207',' - ','New York',,,,,
AppSense','17 State Street 19th Floor',' - ','New York',,,,,
AppStori',' - ',' - ',' - ',,,,,
Appboy',' - ',' - ',' - ',,,,,
Appear By Phone','142 East 39 St.',' - ','New York',,,,,
Appetizer Mobile LLC','115 W 45th St','#501','New York',,,,,
Appetizr',' - ',' - ',' - ',,,,,
Appetude',' - ',' - ',' - ',,,,,
Appguppy Mobile',' - ',' - ',' - ',,,,,
Appinions','18 East 41st St','2nd Flr','New York',,,,,
Apple','101-104 Fifth Avenue',' - ','New York',,,,,
Appliances Connection',' - ',' - ',' - ',,,,,
Application Security','55 Broad Street','10th Floor','New York',,,,,
Applico','220 East 23rd Street','5th Floor','New York',,,,,
Applied Science & Technology Research Organization',' - ',' - ',' - ',,,,,
Applique',' - ',' - ',' - ',,,,,
Approved Learning',' - ',' - ',' - ',,,,,
AppsBidder Inc',' - ',' - ',' - ',,,,,
Appular','65 Broadway','Ste. 903','New York',,,,,
"Appy Couple from AppeProPo, Inc.'",' - ',' - ',' - ',,,,,
"Aquarius Global Capital, LLC'",' - ',' - ',' - ',,,,,
Arc90','747 3rd Ave','30th Floor','New York',,,,,
Arcade CLOVER',' - ',' - ',' - ',,,,,
ArchetypeMe','5 Crosby Street 3rd Floor',' - ','New York',,,,,
Architizer','281 Fifth Ave','3rd Floor','New York',,,,,
Ardency Inn Corp.',' - ',' - ',' - ',,,,,
Arderoy',' - ',' - ',' - ',,,,,
Area17','99 Richardson Street','Second Floor','Brooklyn',,,,,
Arellius Enterprises/Custodis Technologies',' - ',' - ',' - ',,,,,
ArgoFund',' - ',' - ',' - ',,,,,
Ark Media','325 Gold St.','Suite 602','Brooklyn',,,,,
Arkadium','920 Broadway','2nd Floor','New York',,,,,
Armada',' - ',' - ',' - ',,,,,
Armani',' - ',' - ',' - ',,,,,
Armoryinteractive LLC',' - ',' - ',' - ',,,,,
Arn-Star Properties',' - ',' - ',' - ',,,,,
AromaGo',' - ',' - ',' - ',,,,,
Arrive',' - ',' - ',' - ',,,,,
Arrow Leads Inc.',' - ',' - ',' - ',,,,,
Art In Your Space',' - ',' - ',' - ',,,,,
Art Matters',' - ',' - ',' - ',,,,,
Art Story',' - ',' - ',' - ',,,,,
Art. Lebedev Studio','125 Maiden Lane','Suite 15D','New York',,,,,
Art.sy',"'401 Broadway, 25th Flr, New York, NY 10013'",' - ',' - ',,,,,
ArtCondo',' - ',' - ',' - ',,,,,
ArtCycle','32 Court Street #801',' - ','Brooklyn',,,,,
ArtList','59 Franklin St.','Store A','New York',,,,,
ArtSpot',' - ',' - ',' - ',,,,,
ArtStar Inc','405 w 23rd St',' - ','New York',,,,,
Article One Partners','555 Madison Avenue','30th Floor','New York',,,,,
Artificial Elegance',' - ',' - ',' - ',,,,,
Artisan Online',' - ',' - ',' - ',,,,,
Artissano',' - ',' - ',' - ',,,,,
ArtistUpgrade','34-27 41st Street',' - ','Long Island City',,,,,
Artista',' - ',' - ',' - ',,,,,
Artivest','1140 Broadway','Suite 1501','New York',,,,,
Artsicle',' - ',' - ',' - ',,,,,
Artsicle',' - ',' - ',' - ',,,,,
Artspace','915 Broadway','Suite 602','New York',,,,,
Artwalk',' - ',' - ',' - ',,,,,
ArxSocial','420 Lexington Avenue','Suite 2516','New York',,,,,
Asanda AVEDA Spa Lounge',' - ',' - ',' - ',,,,,
Ashe Avenue','67 West St. Floor 4','(Greendesk #C6)','Brooklyn',,,,,
Asia Coal Catalyst Company',' - ',' - ',' - ',,,,,
Asia Coal Catalyst Company',' - ',' - ',' - ',,,,,
Asoko Insight',' - ',' - ',' - ',,,,,
Assassin X Tour',' - ',' - ',' - ',,,,,
Assegai LLC',' - ',' - ',' - ',,,,,
AssetCompass',' - ',' - ',' - ',,,,,
Associated Renewable Inc.',' - ',' - ',' - ',,,,,
Assured Labor','122 W. 26th St.','4th Floor','New York',,,,,
"Astral Consulting Services, LLC'",' - ',' - ',' - ',,,,,
AstrologyMe',' - ',' - ',' - ',,,,,
Asvan',' - ',' - ',' - ',,,,,
Asymptote Security',' - ',' - ',' - ',,,,,
At Peak',' - ',' - ',' - ',,,,,
Ataboy Studios','1133 Broadway','#1328','New York',,,,,
Atari Interactive','417 Fifth Avenue',' - ','New York',,,,,
Atavist',' - ',' - ',' - ',,,,,
Atavist','68 Jay Street','Suite 422','Brooklyn',,,,,
Atelier Brush',' - ',' - ',' - ',,,,,
Baya Weavers' Collective',' - ',' - ',' - ',,,,,
Atikus Investments Incorporated',' - ',' - ',' - ',,,,,
Atlantic Metro Communications','325 Hudson St','4th floor','New York',,,,,
Atlas ATS',' - ',' - ',' - ',,,,,
Atlas Gameworks',' - ',' - ',' - ',,,,,
Atlas Scientific','630 Flushing Avenue','8th Floor','Brooklyn',,,,,
Atomicmonkey',' - ',' - ',' - ',,,,,
"Atomite, Inc.'",' - ',' - ',' - ',,,,,
Atozus',' - ',' - ',' - ',,,,,
Attendingdr',' - ',' - ',' - ',,,,,
Au Contraire',' - ',' - ',' - ',,,,,
Audiobrain','20 W. 22nd St.','Suite 712','New York',,,,,
Audioms','81 Carroll St',' - ','New York',,,,,
Augmate Corporation',' - ',' - ',' - ',,,,,
Augmate Corporation',' - ',' - ',' - ',,,,,
Aura Central Market of Aura Inc.',' - ',' - ',' - ',,,,,
Auralis Inc.',' - ',' - ',' - ',,,,,
Aurnhammer LLC','55 Broad Street','13th Floor','New York',,,,,
Ausmode.com',' - ',' - ',' - ',,,,,
Authintic',' - ',' - ',' - ',,,,,
Authorea',' - ',' - ',' - ',,,,,
Authorstransinc@gmail.com',' - ',' - ',' - ',,,,,
AutoSlash.com','405 Main Street Suite 9R',' - ','New York',,,,,
Autumn Games','54 Thompson St.','4th Flr','New York',,,,,
Auxiliary Design Company','117 Dobbin St','Suite 206','Brooklyn',,,,,
Availendar',' - ',' - ',' - ',,,,,
Avalanche Studios','536 Broadway',' - ','New York',,,,,
Avatar New York','122 Hudson Street','4th Floor','New York',,,,,
Avec','265 Canal Street','Suite 509','New York',,,,,
"AviantLogic, Inc'",' - ',' - ',' - ',,,,,
Aviary','243 W 30th','St #11','New York',,,,,
Avua Cachaca',' - ',' - ',' - ',,,,,
Awar3',' - ',' - ',' - ',,,,,
Awesome',' - ',' - ',' - ',,,,,
Awl & Sundry','175 Varick Street',' - ','New York',,,,,
AxialMarket','45 EAST 20TH STREET','12TH FLOOR','New York',,,,,
Ayima','99 Hudson Street','5th Floor','New York',,,,,
Ayo! Social Inc',' - ',' - ',' - ',,,,,
Azlore',' - ',' - ',' - ',,,,,
B Culture Media','36 East 23rd Street','Suite 5F','New York',,,,,
"B Holding Group, LLC'",' - ',' - ',' - ',,,,,
B&g tourism',' - ',' - ',' - ',,,,,
B-OUT',' - ',' - ',' - ',,,,,
B-Reel Products',' - ',' - ',' - ',,,,,
B. Side Swimwear LLC',' - ',' - ',' - ',,,,,
B.O.S.S.',' - ',' - ',' - ',,,,,
B2B Anywhere',' - ',' - ',' - ',,,,,
BABB',' - ',' - ',' - ',,,,,
BACK UP BACK',' - ',' - ',' - ',,,,,
BAX US',' - ',' - ',' - ',,,,,
BBC Worldwide',' - ',' - ',' - ',,,,,
BBDO','1285 Avenue of the Americas',' - ','New York',,,,,
BDominant LLC','115 East 57th Street','11','New York',,,,,
BEAK',' - ',' - ',' - ',,,,,
BEAR',' - ',' - ',' - ',,,,,
BELGIUM MART LLC',' - ',' - ',' - ',,,,,
BIReady',' - ',' - ',' - ',,,,,
BLACK ARMOUR',' - ',' - ',' - ',,,,,
BLACK RENAISSANCE TECHNOLGY',' - ',' - ',' - ',,,,,
"BODI~CANDLES, LLC'",' - ',' - ',' - ',,,,,
BOLD Organics',' - ',' - ',' - ',,,,,
BOND',' - ',' - ',' - ',,,,,
BOWNCE LLC',' - ',' - ',' - ',,,,,
BOX Creative','518 Broadway',' - ','New York',,,,,
BOX'NGO',' - ',' - ',' - ',,,,,
BRANDmini',' - ',' - ',' - ',,,,,
BRI HOLLOWELL',' - ',' - ',' - ',,,,,
BYOB',' - ',' - ',' - ',,,,,
Baaltaz',' - ',' - ',' - ',,,,,
Baby Bundle',' - ',' - ',' - ',,,,,
"BabyCenter, LLC'",'711 Third Avenue','1502','New York',,,,,
Babysitters America',' - ',' - ',' - ',,,,,
Badger',' - ',' - ',' - ',,,,,
Bajan Yankee Pictures Inc.',' - ',' - ',' - ',,,,,
Baking for Good','353 East 83rd Street',' - ','New York',,,,,
"Balance Engineering, LLC'",' - ',' - ',' - ',,,,,
"Balance Media, LLC'",'34 W 27th St',' - ','New York',,,,,
Bali Pharma',' - ',' - ',' - ',,,,,
"Ballooning Nest Eggs, Inc.'",'451 West End Avenue',' - ','New York',,,,,
"Ballooning Nest Eggs, Inc.- Astia portfolio company'",' - ',' - ',' - ',,,,,
Ballroom Rocks LLC',' - ',' - ',' - ',,,,,
Baltia Airlines',' - ',' - ',' - ',,,,,
Bandsintown','215 Lexington Ave',' - ','New York',,,,,
Bandwaggon',' - ',' - ',' - ',,,,,
Bandwagon',' - ',' - ',' - ',,,,,
"Bandwagon (Weeels, Inc.)'",'137 Varick Street','1st Floor','New York',,,,,
Bandwidth Productions','134 West 26th Street','Suite 1001','New York',,,,,
Banking Up',' - ',' - ',' - ',,,,,
Banking Up','55 Broad Street',' - ','New York',,,,,
"Bar & Club Stats, Inc.'",' - ',' - ',' - ',,,,,
"Bar & Club Stats, Inc.'",' - ',' - ',' - ',,,,,
BareSkin Bags',' - ',' - ',' - ',,,,,
"Bargan Technology, LLC'",' - ',' - ',' - ',,,,,
BarkBox','50 Eldridge Street','Floor 5','New York',,,,,
Barnes & Noble','76 Ninth Avenue','9th Floor','New York',,,,,
Barnes and Hoggetts',' - ',' - ',' - ',,,,,
Baro',' - ',' - ',' - ',,,,,
Barrel','197 Grand Street','Suite 7S','New York',,,,,
Bart',' - ',' - ',' - ',,,,,
Baruch College',' - ',' - ',' - ',,,,,
Barzaga Capital',' - ',' - ',' - ',,,,,
Bateman Group','45 Main Street','Suite 617','Brooklyn',,,,,
Bates CHI&Partners (Estranged Freelance)','Block Zero','Room Zero','New York',,,,,
Battery Park Media (Battery Park City NEWS)','11 Broadway','457','New York',,,,,
BaubleBar','230 Fifth Ave','Ste. 612','New York',,,,,
BaubleBar','131 Greene St',' - ','New York',,,,,
"Bawn Media Networks, Inc'",' - ',' - ',' - ',,,,,
Bayshore Networks Inc.',' - ',' - ',' - ',,,,,
